Designator,Mid X,Mid Y,Layer,Rotation
C6,41.91,43.82,Bottom,270.0
C7,29.21,43.82,Bottom,90.0
C8,10.03,46.10,Bottom,180.0
C9, 9.78,28.32,Bottom,180.0
C10,61.09,28.19,Bottom,0.0
C11,61.21,45.85,Bottom,0.0
D1,35.56,44.45,Bottom,0.0
IC1, 9.91,37.08,Bottom,270.0
IC2,61.21,37.08,Bottom,90.0
R1, 6.22,84.96,Bottom,270.0
R2,20.96,84.96,Bottom,270.0
R3,35.56,84.96,Bottom,270.0
R4,50.16,84.96,Bottom,270.0
R5,64.77,84.96,Bottom,270.0
R6,15.88,39.62,Bottom,270.0
R7,55.75,34.42,Bottom,90.0
R8,55.75,39.88,Bottom,270.0
R9,66.55,39.88,Bottom,270.0
R10,66.55,34.16,Bottom,90.0
R11,14.61,45.09,Bottom,270.0
R12,56.39,29.08,Bottom,90.0
R13,56.39,44.96,Bottom,270.0
R14,65.91,44.96,Bottom,270.0
R15,65.91,29.08,Bottom,90.0
R16,15.88,33.53,Bottom,90.0
R17,23.50,38.35,Bottom,180.0
R18,48.83,38.73,Bottom,270.0
R19,51.24,38.73,Bottom,270.0
R22,40.77,61.98,Bottom,0.0
R23, 4.45,34.29,Bottom,90.0
R24, 4.45,39.75,Bottom,270.0
R25, 5.33,45.09,Bottom,270.0
R26, 5.08,29.21,Bottom,90.0
R30,14.61,29.21,Bottom,270.0
